,Coef.,Std.Err.,P>|z|,Percent Effect on Price
Constant,4.4133319984758295,0.09021749423029557,0.0,81.54404242544241
Ballard,0.07306716809840878,0.020553619140847284,0.00037804539643306376,0.0758027941159305
Beacon Hill,-0.26226772000519527,0.023904629041262296,5.2442372103717e-28,-0.23069496221318275
Capitol Hill,-0.06042486857318051,0.02606683133562374,0.02044524841163098,-0.058635507580929946
Cascade,-0.07853995730689811,0.03576781648739559,0.02810428803318738,-0.07553487994296959
Central Area,-0.19130892596753946,0.029950945026568337,1.6872030979462504e-10,-0.17412258624088928
Delridge,-0.25162737579786504,0.024140933359254484,1.9416815102821642e-25,-0.22246558776421643
Downtown,-0.12070169840972875,0.03835450366990927,0.0016495385334459297,-0.11370169564267196
Interbay,-0.05447682447082329,0.04860717205493422,0.2623913459517627,-0.05301954462331371
Lake City,-0.0589925227709413,0.04140368334377175,0.15421114826202056,-0.057286181982099116
Magnolia,0.05410595879579383,0.03284950525627535,0.09954037919003314,0.05559644595781599
Northgate,-0.10084835556476246,0.029338164208773405,0.0005872277707290206,-0.09592988030590832
Queen Anne,0.017458113449218216,0.023920871217804698,0.4654955353139931,0.01761139702660075
Rainier Valley,-0.1752088850592202,0.021627339996788446,5.438912811781588e-16,-0.16071831094756328
Seward Park,-0.07056469100869167,0.058975938210453376,0.23150162462327994,-0.06813254586971484
University District,-0.016856056630555616,0.02848716195543637,0.5540467262098905,-0.016714788164769345
West Seattle,-0.024278799811811663,0.019676535205193222,0.21724162751441944,-0.023986440574751966
waterfront,0.06991663762007357,0.017416505801580013,5.9599862604667786e-05,0.07241877814621622
Distance from City Center,-0.12380283260617328,0.017073316373178226,4.129520844652122e-13,-0.1164459682444473
Distance^2,0.006819971118128397,0.001748064151109726,9.562132404905541e-05,0.006843280079840808
Private room,-0.2474164946196588,0.0191261462053215,2.818026889769864e-38,-0.21918457962271454
Shared room,-0.6581286849993957,0.09612066814103865,7.546697980075534e-12,-0.48218056832810485
Independent Property,0.14042493444298795,0.013033242033935995,4.548996623519363e-27,0.15076269367999617
Guest Capacity,0.1440354750619369,0.009277937230438259,2.3678783759407885e-54,0.15492507883690143
Capacity^2,-0.004636864976294679,0.0006328842339421091,2.361336541904025e-13,-0.004626131314479198
Bedrooms,0.05015290582812457,0.02169813201411234,0.020811169006765426,0.05143185414368534
Bedrooms^2,-0.003794780627247512,0.004210889414221756,0.367491195784328,-0.0037875895463103104
Bathrooms,0.08500671186298611,0.03865352621345444,0.027863930487584856,0.08872437404270395
Bathrooms^2,0.00404360449729332,0.009213955575356949,0.6607655020897327,0.004051790896426155
Beds,0.024201280287578134,0.012948992823959976,0.06162697572666672,0.024496508090685376
Beds^2,-0.0003163842087684724,0.0012317154886862698,0.7972832347601413,-0.00031633416456255947
Free Parking,-0.03786420292712997,0.016739454281975128,0.023699037160154847,-0.037156316632391495
Hot Tub,0.08303881203701476,0.02743875141012858,0.0024753912617257855,0.08658398026750946
Gym,0.11906849952070729,0.021757271905044895,4.4352024967025924e-08,0.1264470767305228
Pool,0.00917452142497105,0.03698685008890748,0.80409711706641,0.009216736348469645
Air Conditioning,0.07247104469239163,0.009559806160104392,3.4341234497817415e-14,0.07516167400243812
Workspace,0.00652914843241751,0.009977369917347673,0.5128568742441015,0.006550509787222936
EV Charger,0.11584338806322542,0.02297331719539452,4.5944315988708004e-07,0.1228200113460387
Number of Reviews,-0.0003739240360120798,8.37537600550283e-05,8.023190150710508e-06,-0.0003738541351325786
Reviews^2,2.047447745133553e-07,1.3611313640030252e-07,0.13252345803103469,2.0474479556220615e-07
Review Rating,0.058032377926040185,0.0166824425795773,0.0005039464183303108,0.059749307639513916
Superhost,0.0743107874597278,0.010383167140912909,8.255091257631202e-13,0.07714151555706827
Professional Host,0.0031848680173294786,0.01005703543117188,0.7514859704716186,0.003189945097986424
Instant Bookable,-0.016994449078886795,0.0103410571011085,0.10030108311832699,-0.01685085799690733
